Iteration,Element No.,Algorithm,Time
24,10000,Heapsort,0.004000
24,10000,Bubblesort,0.242000
24,10000,Shakersort,0.204000
24,10000,Insertionsort,0.055000
24,10000,Selectionsort,0.114000
25,10000,Recursive Quicksort,0.001000
25,10000,Library qsort,0.005000
25,10000,Heapsort,0.005000
25,10000,Bubblesort,0.242000
25,10000,Shakersort,0.204000
25,10000,Insertionsort,0.055000
25,10000,Selectionsort,0.113000
1,20000,Recursive Quicksort,0.003000
1,20000,Library qsort,0.010000
1,20000,Heapsort,0.010000
1,20000,Bubblesort,0.999000
1,20000,Shakersort,0.841000
1,20000,Insertionsort,0.224000
1,20000,Selectionsort,0.452000
2,20000,Recursive Quicksort,0.002000
2,20000,Library qsort,0.011000
2,20000,Heapsort,0.010000
2,20000,Bubblesort,1.008000
2,20000,Shakersort,0.845000
2,20000,Insertionsort,0.228000
2,20000,Selectionsort,0.446000
3,20000,Recursive Quicksort,0.003000
3,20000,Library qsort,0.010000
3,20000,Heapsort,0.010000
3,20000,Bubblesort,0.998000
3,20000,Shakersort,0.845000
3,20000,Insertionsort,0.225000
3,20000,Selectionsort,0.454000
4,20000,Recursive Quicksort,0.003000
4,20000,Library qsort,0.010000
4,20000,Heapsort,0.011000
4,20000,Bubblesort,0.998000
4,20000,Shakersort,0.841000
4,20000,Insertionsort,0.225000
4,20000,Selectionsort,0.446000
5,20000,Recursive Quicksort,0.003000
5,20000,Library qsort,0.010000
5,20000,Heapsort,0.011000
5,20000,Bubblesort,1.017000
5,20000,Shakersort,0.858000
5,20000,Insertionsort,0.225000
5,20000,Selectionsort,0.450000
6,20000,Recursive Quicksort,0.003000
6,20000,Library qsort,0.010000
6,20000,Heapsort,0.011000
6,20000,Bubblesort,1.013000
6,20000,Shakersort,0.841000
6,20000,Insertionsort,0.228000
6,20000,Selectionsort,0.449000
7,20000,Recursive Quicksort,0.003000
7,20000,Library qsort,0.010000
7,20000,Heapsort,0.012000
7,20000,Bubblesort,0.999000
7,20000,Shakersort,0.840000
7,20000,Insertionsort,0.228000
7,20000,Selectionsort,0.449000
8,20000,Recursive Quicksort,0.003000
8,20000,Library qsort,0.010000
8,20000,Heapsort,0.010000
8,20000,Bubblesort,1.001000
8,20000,Shakersort,0.846000
8,20000,Insertionsort,0.226000
8,20000,Selectionsort,0.451000
9,20000,Recursive Quicksort,0.002000
9,20000,Library qsort,0.011000
9,20000,Heapsort,0.010000
9,20000,Bubblesort,0.998000
9,20000,Shakersort,0.841000
9,20000,Insertionsort,0.226000
9,20000,Selectionsort,0.446000
10,20000,Recursive Quicksort,0.003000
10,20000,Library qsort,0.010000
10,20000,Heapsort,0.010000
10,20000,Bubblesort,1.001000
10,20000,Shakersort,0.842000
10,20000,Insertionsort,0.225000
10,20000,Selectionsort,0.448000
11,20000,Recursive Quicksort,0.003000
11,20000,Library qsort,0.010000
11,20000,Heapsort,0.010000
11,20000,Bubblesort,1.015000
11,20000,Shakersort,0.844000
11,20000,Insertionsort,0.225000
11,20000,Selectionsort,0.448000
12,20000,Recursive Quicksort,0.003000
12,20000,Library qsort,0.010000
12,20000,Heapsort,0.010000
12,20000,Bubblesort,1.006000
12,20000,Shakersort,0.844000
12,20000,Insertionsort,0.224000
12,20000,Selectionsort,0.448000
13,20000,Recursive Quicksort,0.003000
13,20000,Library qsort,0.010000
13,20000,Heapsort,0.010000
13,20000,Bubblesort,1.003000
13,20000,Shakersort,0.845000
13,20000,Insertionsort,0.224000
13,20000,Selectionsort,0.447000
14,20000,Recursive Quicksort,0.003000
14,20000,Library qsort,0.011000
14,20000,Heapsort,0.011000
14,20000,Bubblesort,0.999000
14,20000,Shakersort,0.838000
14,20000,Insertionsort,0.223000
14,20000,Selectionsort,0.449000
15,20000,Recursive Quicksort,0.003000
15,20000,Library qsort,0.010000
15,20000,Heapsort,0.010000
15,20000,Bubblesort,0.998000
15,20000,Shakersort,0.840000
15,20000,Insertionsort,0.225000
15,20000,Selectionsort,0.453000
16,20000,Recursive Quicksort,0.003000
16,20000,Library qsort,0.011000
16,20000,Heapsort,0.010000
16,20000,Bubblesort,1.005000
16,20000,Shakersort,0.844000
16,20000,Insertionsort,0.225000
16,20000,Selectionsort,0.449000
17,20000,Recursive Quicksort,0.002000
17,20000,Library qsort,0.011000
17,20000,Heapsort,0.010000
17,20000,Bubblesort,1.007000
17,20000,Shakersort,0.844000
17,20000,Insertionsort,0.228000
17,20000,Selectionsort,0.448000
18,20000,Recursive Quicksort,0.002000
18,20000,Library qsort,0.011000
18,20000,Heapsort,0.010000
18,20000,Bubblesort,1.007000
18,20000,Shakersort,0.839000
18,20000,Insertionsort,0.225000
18,20000,Selectionsort,0.447000
19,20000,Recursive Quicksort,0.003000
19,20000,Library qsort,0.011000
19,20000,Heapsort,0.010000
19,20000,Bubblesort,1.005000
19,20000,Shakersort,0.842000
19,20000,Insertionsort,0.225000
19,20000,Selectionsort,0.450000
20,20000,Recursive Quicksort,0.003000
20,20000,Library qsort,0.010000
20,20000,Heapsort,0.010000
20,20000,Bubblesort,1.004000
20,20000,Shakersort,0.843000
20,20000,Insertionsort,0.227000
20,20000,Selectionsort,0.446000
21,20000,Recursive Quicksort,0.003000
21,20000,Library qsort,0.011000
21,20000,Heapsort,0.010000
21,20000,Bubblesort,0.999000
21,20000,Shakersort,0.842000
21,20000,Insertionsort,0.226000
21,20000,Selectionsort,0.447000
22,20000,Recursive Quicksort,0.003000
22,20000,Library qsort,0.010000
22,20000,Heapsort,0.010000
22,20000,Bubblesort,1.002000
22,20000,Shakersort,0.836000
22,20000,Insertionsort,0.225000
22,20000,Selectionsort,0.450000
23,20000,Recursive Quicksort,0.003000
23,20000,Library qsort,0.010000
23,20000,Heapsort,0.010000
23,20000,Bubblesort,1.009000
23,20000,Shakersort,0.839000
23,20000,Insertionsort,0.226000
23,20000,Selectionsort,0.449000
24,20000,Recursive Quicksort,0.002000
24,20000,Library qsort,0.011000
24,20000,Heapsort,0.010000
24,20000,Bubblesort,1.004000
24,20000,Shakersort,0.842000
24,20000,Insertionsort,0.225000
24,20000,Selectionsort,0.448000
25,20000,Recursive Quicksort,0.002000
25,20000,Library qsort,0.010000
25,20000,Heapsort,0.010000
25,20000,Bubblesort,1.001000
25,20000,Shakersort,0.848000
25,20000,Insertionsort,0.228000
25,20000,Selectionsort,0.449000
1,30000,Recursive Quicksort,0.004000
1,30000,Library qsort,0.016000
1,30000,Heapsort,0.016000
1,30000,Bubblesort,2.271000
1,30000,Shakersort,1.917000
1,30000,Insertionsort,0.506000
1,30000,Selectionsort,1.010000
2,30000,Recursive Quicksort,0.004000
2,30000,Library qsort,0.016000
2,30000,Heapsort,0.016000
2,30000,Bubblesort,2.256000
2,30000,Shakersort,1.915000
2,30000,Insertionsort,0.499000
2,30000,Selectionsort,1.010000
3,30000,Recursive Quicksort,0.005000
3,30000,Library qsort,0.016000
3,30000,Heapsort,0.016000
3,30000,Bubblesort,2.264000
3,30000,Shakersort,1.916000
3,30000,Insertionsort,0.500000
3,30000,Selectionsort,1.011000
4,30000,Recursive Quicksort,0.004000
4,30000,Library qsort,0.017000
4,30000,Heapsort,0.016000
4,30000,Bubblesort,2.266000
4,30000,Shakersort,1.927000
4,30000,Insertionsort,0.509000
4,30000,Selectionsort,1.010000
5,30000,Recursive Quicksort,0.005000
5,30000,Library qsort,0.016000
5,30000,Heapsort,0.016000
5,30000,Bubblesort,2.291000
5,30000,Shakersort,1.925000
5,30000,Insertionsort,0.512000
5,30000,Selectionsort,1.010000
6,30000,Recursive Quicksort,0.005000
6,30000,Library qsort,0.017000
6,30000,Heapsort,0.015000
6,30000,Bubblesort,2.284000
6,30000,Shakersort,1.927000
6,30000,Insertionsort,0.510000
6,30000,Selectionsort,1.011000
7,30000,Recursive Quicksort,0.004000
7,30000,Library qsort,0.017000
7,30000,Heapsort,0.016000
7,30000,Bubblesort,2.280000
7,30000,Shakersort,1.925000
7,30000,Insertionsort,0.504000
7,30000,Selectionsort,1.009000
8,30000,Recursive Quicksort,0.004000
8,30000,Library qsort,0.017000
8,30000,Heapsort,0.016000
8,30000,Bubblesort,2.295000
8,30000,Shakersort,1.924000
8,30000,Insertionsort,0.506000
8,30000,Selectionsort,1.011000
9,30000,Recursive Quicksort,0.005000
9,30000,Library qsort,0.016000
9,30000,Heapsort,0.016000
9,30000,Bubblesort,2.269000
9,30000,Shakersort,1.927000
9,30000,Insertionsort,0.509000
9,30000,Selectionsort,1.010000
10,30000,Recursive Quicksort,0.005000
10,30000,Library qsort,0.017000
10,30000,Heapsort,0.016000
10,30000,Bubblesort,2.273000
10,30000,Shakersort,1.921000
10,30000,Insertionsort,0.504000
10,30000,Selectionsort,1.005000
11,30000,Recursive Quicksort,0.004000
11,30000,Library qsort,0.017000
