Iteration,Element No.,Algorithm,Time
2,20000,Insertionsort,0.266000
2,20000,Selectionsort,0.484000
3,20000,Recursive Quicksort,0.003000
3,20000,Library qsort,0.008000
3,20000,Heapsort,0.009000
3,20000,Bubblesort,1.143000
3,20000,Shakersort,0.920000
3,20000,Insertionsort,0.259000
3,20000,Selectionsort,0.488000
4,20000,Recursive Quicksort,0.003000
4,20000,Library qsort,0.009000
4,20000,Heapsort,0.011000
4,20000,Bubblesort,1.179000
4,20000,Shakersort,0.943000
4,20000,Insertionsort,0.269000
4,20000,Selectionsort,0.478000
5,20000,Recursive Quicksort,0.003000
5,20000,Library qsort,0.008000
5,20000,Heapsort,0.009000
5,20000,Bubblesort,1.147000
5,20000,Shakersort,0.999000
5,20000,Insertionsort,0.296000
5,20000,Selectionsort,0.507000
6,20000,Recursive Quicksort,0.002000
6,20000,Library qsort,0.013000
6,20000,Heapsort,0.009000
6,20000,Bubblesort,1.199000
6,20000,Shakersort,0.924000
6,20000,Insertionsort,0.290000
6,20000,Selectionsort,0.478000
7,20000,Recursive Quicksort,0.003000
7,20000,Library qsort,0.009000
7,20000,Heapsort,0.009000
7,20000,Bubblesort,1.129000
7,20000,Shakersort,0.953000
7,20000,Insertionsort,0.260000
7,20000,Selectionsort,0.492000
8,20000,Recursive Quicksort,0.004000
8,20000,Library qsort,0.009000
8,20000,Heapsort,0.008000
8,20000,Bubblesort,1.158000
8,20000,Shakersort,0.940000
8,20000,Insertionsort,0.266000
8,20000,Selectionsort,0.520000
9,20000,Recursive Quicksort,0.003000
9,20000,Library qsort,0.008000
9,20000,Heapsort,0.009000
9,20000,Bubblesort,1.110000
9,20000,Shakersort,0.927000
9,20000,Insertionsort,0.256000
9,20000,Selectionsort,0.482000
10,20000,Recursive Quicksort,0.002000
10,20000,Library qsort,0.009000
10,20000,Heapsort,0.009000
10,20000,Bubblesort,1.139000
10,20000,Shakersort,0.929000
10,20000,Insertionsort,0.263000
10,20000,Selectionsort,0.476000
11,20000,Recursive Quicksort,0.003000
11,20000,Library qsort,0.009000
11,20000,Heapsort,0.009000
11,20000,Bubblesort,1.198000
11,20000,Shakersort,0.932000
11,20000,Insertionsort,0.259000
11,20000,Selectionsort,0.491000
12,20000,Recursive Quicksort,0.002000
12,20000,Library qsort,0.008000
12,20000,Heapsort,0.009000
12,20000,Bubblesort,1.147000
12,20000,Shakersort,0.975000
12,20000,Insertionsort,0.254000
12,20000,Selectionsort,0.474000
13,20000,Recursive Quicksort,0.003000
13,20000,Library qsort,0.009000
13,20000,Heapsort,0.009000
13,20000,Bubblesort,1.152000
13,20000,Shakersort,0.935000
13,20000,Insertionsort,0.284000
13,20000,Selectionsort,0.484000
14,20000,Recursive Quicksort,0.003000
14,20000,Library qsort,0.009000
14,20000,Heapsort,0.011000
14,20000,Bubblesort,1.167000
14,20000,Shakersort,0.933000
14,20000,Insertionsort,0.261000
14,20000,Selectionsort,0.482000
15,20000,Recursive Quicksort,0.003000
15,20000,Library qsort,0.008000
15,20000,Heapsort,0.011000
15,20000,Bubblesort,1.163000
15,20000,Shakersort,0.924000
15,20000,Insertionsort,0.264000
15,20000,Selectionsort,0.491000
16,20000,Recursive Quicksort,0.003000
16,20000,Library qsort,0.010000
16,20000,Heapsort,0.009000
16,20000,Bubblesort,1.185000
16,20000,Shakersort,0.945000
16,20000,Insertionsort,0.260000
16,20000,Selectionsort,0.481000
17,20000,Recursive Quicksort,0.004000
17,20000,Library qsort,0.008000
17,20000,Heapsort,0.009000
17,20000,Bubblesort,1.164000
17,20000,Shakersort,0.923000
17,20000,Insertionsort,0.265000
17,20000,Selectionsort,0.492000
18,20000,Recursive Quicksort,0.003000
18,20000,Library qsort,0.010000
18,20000,Heapsort,0.010000
18,20000,Bubblesort,1.196000
18,20000,Shakersort,0.930000
18,20000,Insertionsort,0.262000
18,20000,Selectionsort,0.480000
19,20000,Recursive Quicksort,0.003000
19,20000,Library qsort,0.009000
19,20000,Heapsort,0.008000
19,20000,Bubblesort,1.155000
19,20000,Shakersort,0.920000
19,20000,Insertionsort,0.259000
19,20000,Selectionsort,0.483000
20,20000,Recursive Quicksort,0.004000
20,20000,Library qsort,0.010000
20,20000,Heapsort,0.011000
20,20000,Bubblesort,1.168000
20,20000,Shakersort,0.918000
20,20000,Insertionsort,0.266000
20,20000,Selectionsort,0.481000
21,20000,Recursive Quicksort,0.003000
21,20000,Library qsort,0.009000
21,20000,Heapsort,0.009000
21,20000,Bubblesort,1.144000
21,20000,Shakersort,0.930000
21,20000,Insertionsort,0.265000
21,20000,Selectionsort,0.482000
22,20000,Recursive Quicksort,0.003000
22,20000,Library qsort,0.008000
22,20000,Heapsort,0.009000
22,20000,Bubblesort,1.142000
22,20000,Shakersort,0.931000
22,20000,Insertionsort,0.257000
22,20000,Selectionsort,0.477000
23,20000,Recursive Quicksort,0.004000
23,20000,Library qsort,0.008000
23,20000,Heapsort,0.011000
23,20000,Bubblesort,1.151000
23,20000,Shakersort,0.944000
23,20000,Insertionsort,0.262000
23,20000,Selectionsort,0.480000
24,20000,Recursive Quicksort,0.003000
24,20000,Library qsort,0.009000
24,20000,Heapsort,0.009000
24,20000,Bubblesort,1.162000
24,20000,Shakersort,0.917000
24,20000,Insertionsort,0.262000
24,20000,Selectionsort,0.485000
25,20000,Recursive Quicksort,0.003000
25,20000,Library qsort,0.009000
25,20000,Heapsort,0.010000
25,20000,Bubblesort,1.134000
25,20000,Shakersort,0.922000
25,20000,Insertionsort,0.269000
25,20000,Selectionsort,0.476000
1,30000,Recursive Quicksort,0.004000
1,30000,Library qsort,0.015000
1,30000,Heapsort,0.015000
1,30000,Bubblesort,2.572000
1,30000,Shakersort,2.157000
1,30000,Insertionsort,0.600000
1,30000,Selectionsort,1.076000
2,30000,Recursive Quicksort,0.004000
2,30000,Library qsort,0.014000
2,30000,Heapsort,0.013000
2,30000,Bubblesort,2.526000
2,30000,Shakersort,2.146000
2,30000,Insertionsort,0.580000
2,30000,Selectionsort,1.066000
3,30000,Recursive Quicksort,0.005000
3,30000,Library qsort,0.014000
3,30000,Heapsort,0.013000
3,30000,Bubblesort,2.573000
3,30000,Shakersort,2.153000
3,30000,Insertionsort,0.592000
3,30000,Selectionsort,1.069000
4,30000,Recursive Quicksort,0.004000
4,30000,Library qsort,0.013000
4,30000,Heapsort,0.015000
4,30000,Bubblesort,2.588000
4,30000,Shakersort,2.177000
4,30000,Insertionsort,0.594000
4,30000,Selectionsort,1.088000
5,30000,Recursive Quicksort,0.005000
5,30000,Library qsort,0.014000
5,30000,Heapsort,0.016000
5,30000,Bubblesort,2.597000
5,30000,Shakersort,2.181000
5,30000,Insertionsort,0.585000
5,30000,Selectionsort,1.078000
6,30000,Recursive Quicksort,0.005000
6,30000,Library qsort,0.013000
6,30000,Heapsort,0.018000
6,30000,Bubblesort,2.551000
6,30000,Shakersort,2.157000
6,30000,Insertionsort,0.600000
6,30000,Selectionsort,1.078000
7,30000,Recursive Quicksort,0.004000
7,30000,Library qsort,0.013000
7,30000,Heapsort,0.015000
7,30000,Bubblesort,2.604000
7,30000,Shakersort,2.156000
7,30000,Insertionsort,0.602000
7,30000,Selectionsort,1.083000
8,30000,Recursive Quicksort,0.005000
8,30000,Library qsort,0.013000
8,30000,Heapsort,0.014000
8,30000,Bubblesort,2.632000
8,30000,Shakersort,2.146000
8,30000,Insertionsort,0.587000
8,30000,Selectionsort,1.086000
9,30000,Recursive Quicksort,0.005000
9,30000,Library qsort,0.014000
9,30000,Heapsort,0.015000
9,30000,Bubblesort,2.577000
9,30000,Shakersort,2.155000
9,30000,Insertionsort,0.572000
9,30000,Selectionsort,1.088000
10,30000,Recursive Quicksort,0.004000
10,30000,Library qsort,0.014000
10,30000,Heapsort,0.014000
10,30000,Bubblesort,2.597000
10,30000,Shakersort,2.159000
10,30000,Insertionsort,0.589000
10,30000,Selectionsort,1.095000
11,30000,Recursive Quicksort,0.005000
11,30000,Library qsort,0.014000
11,30000,Heapsort,0.013000
11,30000,Bubblesort,2.587000
11,30000,Shakersort,2.123000
11,30000,Insertionsort,0.596000
11,30000,Selectionsort,1.087000
12,30000,Recursive Quicksort,0.004000
12,30000,Library qsort,0.014000
12,30000,Heapsort,0.014000
12,30000,Bubblesort,2.575000
12,30000,Shakersort,2.179000
12,30000,Insertionsort,0.574000
12,30000,Selectionsort,1.091000
13,30000,Recursive Quicksort,0.004000
13,30000,Library qsort,0.012000
13,30000,Heapsort,0.014000
13,30000,Bubblesort,2.587000
13,30000,Shakersort,2.135000
13,30000,Insertionsort,0.579000
13,30000,Selectionsort,1.075000
14,30000,Recursive Quicksort,0.005000
14,30000,Library qsort,0.016000
14,30000,Heapsort,0.017000
14,30000,Bubblesort,2.611000
14,30000,Shakersort,2.163000
14,30000,Insertionsort,0.587000
14,30000,Selectionsort,1.075000
15,30000,Recursive Quicksort,0.004000
15,30000,Library qsort,0.014000
15,30000,Heapsort,0.014000
15,30000,Bubblesort,2.608000
15,30000,Shakersort,2.158000
15,30000,Insertionsort,0.583000
15,30000,Selectionsort,1.065000
16,30000,Recursive Quicksort,0.005000
16,30000,Library qsort,0.014000
16,30000,Heapsort,0.014000
16,30000,Bubblesort,2.550000
16,30000,Shakersort,2.131000
16,30000,Insertionsort,0.601000
16,30000,Selectionsort,1.069000
17,30000,Recursive Quicksort,0.004000
17,30000,Library qsort,0.014000
17,30000,Heapsort,0.014000
17,30000,Bubblesort,2.607000
17,30000,Shakersort,2.158000
